Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0056cebd6cd72164f185e551f894f028d3d2e319,Jan,2017,auto,hold,Clarkson Valley,702.5398230088497,770.0,704.2477876106195,45.0,True,False,True
005b44ffe2812f645179dccec3443da1ec58a68d,Jan,2017,heat,hold,Kirkwood,691.5208791208792,694.665934065934,694.656043956044,0.0,False,False,False
008c4f598020b4161f9e0ee6c31c8f02b87b8a9c,Jan,2017,heat,hold,Springfield,686.6933333333334,689.8,688.44,25.0,False,False,False
022ca80b9cb18dbbc868c84e90c30a7eb88e6e56,Jan,2017,heat,auto,Wildwood,692.1428571428571,660.0,660.0,5.0,False,False,False
022ca80b9cb18dbbc868c84e90c30a7eb88e6e56,Jan,2017,heat,hold,Wildwood,695.768826619965,698.2977232924692,698.2346760070053,5.0,False,False,False
032256f0c3f84afabb439e80af499e07c3b0890f,Jan,2017,heat,auto,-kansas city,686.1212121212121,681.5151515151515,681.5151515151515,25.0,False,False,False
032256f0c3f84afabb439e80af499e07c3b0890f,Jan,2017,heat,hold,-kansas city,678.0555555555555,680.1666666666666,680.1666666666666,25.0,False,False,False
039f6f611e9de5992ad5344f6207015aa55b986a,Jan,2017,heat,auto,Chesterfield,675.3,680.0,680.0,46.0,False,False,False
03d081f652048a691168648e95540d11a37325f7,Jan,2017,heat,auto,holden,734.2239583333335,760.0,730.0,15.0,True,False,True
05250ec1a452e49ce56a9a445d423eaf4142a3ea,Jan,2017,auto,auto,St. Louis,634.6923076923077,760.3846153846154,631.1538461538463,115.0,False,False,False
05250ec1a452e49ce56a9a445d423eaf4142a3ea,Jan,2017,heat,hold,St. Louis,626.0,734.0,666.0,115.0,False,False,False
0620f21486724f10d2e324b0f418100f15b5f9f8,Jan,2017,auto,auto,St. Louis,690.3837837837838,753.4054054054054,684.1837837837837,75.0,False,False,False
0620f21486724f10d2e324b0f418100f15b5f9f8,Jan,2017,auto,hold,St. Louis,705.6214285714287,760.0714285714287,708.3142857142857,75.0,False,False,False
06813b22eefba93728d203b79b0b6c59b5f618da,Jan,2017,heat,auto,Florissant,721.0674846625767,714.4662576687117,714.4662576687117,0.0,False,False,False
06813b22eefba93728d203b79b0b6c59b5f618da,Jan,2017,heat,hold,Florissant,710.4356164383563,708.9242009132421,708.9242009132421,0.0,False,False,False
06f37d1143d483a0c01db1c5aded53cebdee0a4c,Jan,2017,auto,hold,KANSAS CITY,687.9197186012829,750.0,690.0,0.0,False,False,False
083eac09b9af57cf59c6e935440521ff4c7b0355,Jan,2017,heat,hold,Kirkwood,701.4327731092437,702.4453781512606,702.4453781512606,36.0,False,False,False
086239f87d34256f88c2837ea815f849beda356c,Jan,2017,auto,hold,Saint Charles,690.3333333333335,759.6666666666665,709.3333333333335,30.0,True,False,False
088463d2908b2a5800fe1009043e72b12ea00d3d,Jan,2017,heat,auto,St Louis,694.9221453287198,696.8858131487889,696.8858131487889,0.0,True,False,True
088463d2908b2a5800fe1009043e72b12ea00d3d,Jan,2017,heat,hold,St Louis,700.8006535947712,706.4754901960785,706.3464052287583,0.0,True,False,True
092a91940be05cd4c5c6d03fc140e6c54a4d9082,Jan,2017,cool,hold,Chesterfield,692.0,720.0,720.0,5.0,False,False,False
092a91940be05cd4c5c6d03fc140e6c54a4d9082,Jan,2017,heat,hold,Chesterfield,707.8335588633287,705.7077131258458,705.7077131258458,5.0,False,False,False
0a22a75fdab0e08d37c9e4f310b8b0528bc0bb99,Jan,2017,heat,auto,Imperial,707.8941176470587,718.1294117647058,710.0,10.0,False,False,False
0a22a75fdab0e08d37c9e4f310b8b0528bc0bb99,Jan,2017,heat,hold,Imperial,709.0372340425532,707.25,707.2234042553191,10.0,False,False,False
0a8906d0982213178c3d8e48b2b61a727f152c80,Jan,2017,heat,auto,O Fallon,713.8025298664792,720.7666900913562,709.0751932536892,15.0,False,False,False
0a8906d0982213178c3d8e48b2b61a727f152c80,Jan,2017,heat,hold,O Fallon,720.4642857142858,717.6760204081633,717.6760204081633,15.0,False,False,False
0aefbafe9b268dc3b8ccd7c8a58a2adbdb9e4e88,Jan,2017,heat,auto,Saint Peters,697.3293768545993,688.2477744807121,687.1973293768546,46.0,False,False,False
0aefbafe9b268dc3b8ccd7c8a58a2adbdb9e4e88,Jan,2017,heat,hold,Saint Peters,698.5216284987278,696.2697201017813,695.9325699745548,46.0,False,False,False
0b8f79ddaf356f48ebce0e5064851df9e5a0e692,Jan,2017,heat,hold,Chesterfield,746.5,732.6190476190477,732.6190476190477,0.0,False,False,False
0c3c5523ca441eeadd9b3081892579a79c0c05e0,Jan,2017,cool,auto,arnold,645.3125,680.0,680.0,0.0,False,False,False
0c3c5523ca441eeadd9b3081892579a79c0c05e0,Jan,2017,cool,hold,arnold,732.3333333333335,650.0,640.0,0.0,False,False,False
0c3c5523ca441eeadd9b3081892579a79c0c05e0,Jan,2017,heat,auto,arnold,664.1213017751479,677.2781065088757,667.0355029585799,0.0,False,False,False
0c3c5523ca441eeadd9b3081892579a79c0c05e0,Jan,2017,heat,hold,arnold,686.8365346922775,687.0964327714622,687.0772246177969,0.0,False,False,False
0caabb43337af0ac85b9b3051a32a2645177fa3c,Jan,2017,heat,auto,Columbia,697.2962962962962,698.3333333333335,698.3333333333335,0.0,False,False,False
0caabb43337af0ac85b9b3051a32a2645177fa3c,Jan,2017,heat,hold,Columbia,689.0865128660159,689.7883762200532,689.7883762200532,0.0,False,False,False
0cc123e2675557b5c2be3ca2a1b4b539aeb008e2,Jan,2017,heat,auto,Centralia ,694.1481481481482,800.0,650.0,5.0,False,False,True
0cc123e2675557b5c2be3ca2a1b4b539aeb008e2,Jan,2017,heat,hold,Centralia ,689.4216589861751,686.036866359447,686.036866359447,5.0,False,False,True
0d658b0e1215b17f314a124ec1cba0e27ea4cf25,Jan,2017,heat,auto,Kearney,691.5714285714287,693.6071428571429,693.6071428571429,25.0,False,False,False
0d658b0e1215b17f314a124ec1cba0e27ea4cf25,Jan,2017,heat,hold,Kearney,660.9130434782609,684.6086956521739,684.6086956521739,25.0,False,False,False
0e0c18ad370aa3d5acf2278a33d87a59761a3972,Jan,2017,heat,auto,Sugar Creek,717.8333333333335,720.0,720.0,0.0,False,False,False
0e0c18ad370aa3d5acf2278a33d87a59761a3972,Jan,2017,heat,hold,Sugar Creek,700.0300285986654,696.9699714013346,696.9699714013346,0.0,False,False,False
1024f8894803b4cae6d86a6da342b003bac8e542,Jan,2017,heat,auto,Independence,767.7395833333335,750.0,750.0,70.0,False,False,False
1024f8894803b4cae6d86a6da342b003bac8e542,Jan,2017,heat,hold,Independence,784.5081967213115,761.1522248243559,761.1451990632318,70.0,False,False,False
1164f765b1be5cb5a2fb88277e186b429303d5b8,Jan,2017,auto,hold,Town and Country,705.6666666666665,795.0,751.0,0.0,False,False,False
1164f765b1be5cb5a2fb88277e186b429303d5b8,Jan,2017,heat,hold,Town and Country,701.3881856540085,702.1898734177215,702.1518987341773,0.0,False,False,False
12e503eab18c9a4e58b8bd9df873f724a43b712d,Jan,2017,auxHeatOnly,auto,Valley Park,693.1340839303991,698.2845445240532,698.2517911975435,26.0,False,False,True
12e503eab18c9a4e58b8bd9df873f724a43b712d,Jan,2017,auxHeatOnly,hold,Valley Park,681.25,683.25,680.9375,26.0,False,False,True
13a5d4d6d8497a8d83444f4331f15f732eaad1cc,Jan,2017,heat,auto,Springfield,667.9166666666666,780.0,670.0,25.0,False,False,False
13a5d4d6d8497a8d83444f4331f15f732eaad1cc,Jan,2017,heat,hold,Springfield,662.2542372881356,650.7627118644067,650.1694915254237,25.0,False,False,False
13b107e1dd62fcd42279556b4fdd9267a76e15a4,Jan,2017,heat,auto,Wildwood,685.0930232558139,687.8139534883722,686.6744186046511,16.0,False,False,False
13b107e1dd62fcd42279556b4fdd9267a76e15a4,Jan,2017,heat,hold,Wildwood,674.75,674.09375,673.34375,16.0,False,False,False
13fe6775dfce335ba4c3fdf5323a101c35e8ee5d,Jan,2017,heat,hold,Rock Hill,703.0,696.5,695.4318181818181,76.0,False,False,False
1433635b3fd353e7d698f36e35fa486580627d21,Jan,2017,auto,hold,Wentzville,677.3384175405148,742.7216396568159,678.4966634890371,0.0,False,False,False
155675cd796141a45177caabf01766c277efbaa6,Jan,2017,heat,hold,Springfield,654.625,652.5,640.6666666666666,5.0,False,False,True
155a7a7a733840a4c2b4b53d2979fe88c300d498,Jan,2017,auto,hold,St. Louis,718.9525316455696,850.5063291139239,717.8481012658227,0.0,True,False,False
1670aa62a6f1d23e7188f54625b87aa3119f5c57,Jan,2017,heat,auto,Raytown,701.0444444444445,707.0888888888887,706.2888888888889,35.0,False,False,False
1670aa62a6f1d23e7188f54625b87aa3119f5c57,Jan,2017,heat,hold,Raytown,698.6062992125984,700.2598425196851,699.3385826771654,35.0,False,False,False
1a5212a58c52175312785d9892f8464adf0127fe,Jan,2017,auto,auto,Liberty,674.4,784.7444444444444,676.9222222222222,10.0,False,False,True
1a9e911c7975452ce2d944ecc8aafc9190a26792,Jan,2017,heat,hold,Morrisville,711.3751817741155,714.1958313136209,714.141056713524,20.0,False,False,True
1c2ccbb828ce26dc53901147cd3cc813d300f15f,Jan,2017,cool,hold,St. Louis,697.0,685.0,685.0,110.0,False,False,False
1c2ccbb828ce26dc53901147cd3cc813d300f15f,Jan,2017,heat,auto,St. Louis,638.2678571428571,815.1964285714287,640.8571428571429,110.0,False,False,False
1c2ccbb828ce26dc53901147cd3cc813d300f15f,Jan,2017,heat,hold,St. Louis,691.46875,698.59375,698.34375,110.0,False,False,False
1c5a0bcc9b643f97b5a34bee2de942cbe0db8b86,Jan,2017,heat,hold,Maryland Heights,650.7371967654988,662.2951482479783,653.1118598382749,80.0,False,False,False
1deceb626091ecee6d44b2eb41d87eb913c5d0be,Jan,2017,auto,auto,Kansas city,678.3724696356276,806.2064777327935,647.2955465587045,100.0,False,False,False
1deceb626091ecee6d44b2eb41d87eb913c5d0be,Jan,2017,auto,hold,Kansas city,664.6190476190476,719.2857142857142,662.1428571428571,100.0,False,False,False
1e5a8c29ea8e35fcd0a988ef240bd2c9aae60b43,Jan,2017,heat,auto,Springfield,690.4038461538463,700.8076923076923,700.0,15.0,False,False,False
1e5d65747e7f91a9fe04e210038f07b4b687cda5,Jan,2017,heat,auto,O Fallon,708.2777777777777,750.0,710.0,0.0,False,False,False
1f238d54fcb1a92d890df825fc2e0d687ce02924,Jan,2017,heat,hold,Ofallon,721.0288590604026,729.2744966442951,729.2302013422818,15.0,False,False,False
207a03d5bc8ce93cce0cccc5bedc0a045c22a454,Jan,2017,heat,hold,St. Charles,694.3125,700.0,700.0,5.0,False,False,False
20edcdc2e389af1e30721e14844396a266aa2185,Jan,2017,auto,auto,Rock Hill,677.04,814.5,649.744,65.0,False,False,False
20edcdc2e389af1e30721e14844396a266aa2185,Jan,2017,auto,hold,Rock Hill,694.3033509700177,780.4232804232803,691.0881834215168,65.0,False,False,False
21ff8f7c05917672b1efe073520397c64681ebb3,Jan,2017,heat,auto,Chesterfield,717.7547169811321,720.0,720.0,35.0,False,False,False
21ff8f7c05917672b1efe073520397c64681ebb3,Jan,2017,heat,hold,Chesterfield,714.1788856304985,714.6759530791787,714.6598240469208,35.0,False,False,False
24cdb384d2f5d2c83b3c4f2cb4bcb8b63c75bffc,Jan,2017,heat,auto,St. Louis,707.3333333333335,750.0,710.0,115.0,False,False,False
25b72103302ab5130a36572fbc5293e1597d6b8c,Jan,2017,heat,auto,Kansas City,708.5454545454545,680.0,680.0,25.0,False,False,False
2656f48d949c8ad2d8c35459d9777775c67dae89,Jan,2017,heat,auto,Byrnes Mill,693.0952380952382,680.0,680.0,10.0,False,False,True
2656f48d949c8ad2d8c35459d9777775c67dae89,Jan,2017,heat,hold,Byrnes Mill,678.5054531778865,680.0,680.0,10.0,False,False,True
265dfc006e31bb5bbfdee23075de17cf28bfa33e,Jan,2017,heat,auto,Republic,697.8298611111112,670.0,700.0,0.0,False,False,False
265dfc006e31bb5bbfdee23075de17cf28bfa33e,Jan,2017,heat,hold,Republic,684.6872852233678,683.5005727376862,683.5005727376862,0.0,False,False,False
270b7c32ed297a9831d8c67a361e0ce028c88373,Jan,2017,auto,auto,byrnes mill,698.1975308641977,750.0,700.0,10.0,False,False,False
2799565a7311313eeba4efb09ae134274ea32bd6,Jan,2017,heat,auto,St Louis,701.2011447260834,702.8274734260017,702.8274734260017,120.0,False,False,False
2799565a7311313eeba4efb09ae134274ea32bd6,Jan,2017,heat,hold,St Louis,635.3759590792839,679.8452685421995,633.809462915601,120.0,False,False,False
28cf1174b4d07ab6ef0a65055c749a0d6426b127,Jan,2017,heat,auto,Lee's Summit,663.6801619433198,659.8097165991902,657.578947368421,5.0,False,False,False
28cf1174b4d07ab6ef0a65055c749a0d6426b127,Jan,2017,heat,hold,Lee's Summit,657.1829484902311,653.48134991119,636.7158081705152,5.0,False,False,False
2ad5826064172ca49eef4682793678f0de3a8309,Jan,2017,heat,hold,Maryland heights,697.7537037037036,698.3333333333335,698.3333333333335,50.0,False,False,False
2b0c5efda44a299c65bcf57e66311094f33c0aee,Jan,2017,auto,auto,Smithville,614.4393063583815,820.0,600.0,20.0,False,False,False
2b9cdacb37fdba36c20f980be301c44138de4fa2,Jan,2017,auxHeatOnly,hold,Sunrise Beach,756.5218216318785,747.3984819734344,747.3984819734344,0.0,False,True,True
2b9cdacb37fdba36c20f980be301c44138de4fa2,Jan,2017,heat,hold,Sunrise Beach,736.3237704918033,740.0368852459018,740.0368852459018,0.0,False,True,True
2cc60715871e3b3ce08336da3554153983231274,Jan,2017,heat,auto,Valley Park,667.3488372093024,660.9302325581397,660.5581395348837,25.0,False,False,False
2cc60715871e3b3ce08336da3554153983231274,Jan,2017,heat,hold,Valley Park,694.6296296296298,694.8148148148148,694.6419753086419,25.0,False,False,False
2dd2f52c5d516d7274953f6e048303085ffd6b3b,Jan,2017,heat,auto,st james,718.589319771138,723.4221233312143,723.3998728544182,50.0,False,False,True
2dd2f52c5d516d7274953f6e048303085ffd6b3b,Jan,2017,heat,hold,st james,706.4298440979956,711.4231625835188,711.347438752784,50.0,False,False,True
30eac2bc3a0323dc141663d6aafe1928ba70612f,Jan,2017,auto,auto,Arnold,659.9636363636364,750.1727272727272,652.8272727272728,20.0,False,False,False
30eac2bc3a0323dc141663d6aafe1928ba70612f,Jan,2017,auto,hold,Arnold,651.6434426229507,750.1352459016392,649.577868852459,20.0,False,False,False
31dc537948def8da1de9f68203837915b8c6896a,Jan,2017,heat,auto,Ozark,700.9629629629628,705.3950617283949,705.3950617283949,10.0,False,False,False
31dc537948def8da1de9f68203837915b8c6896a,Jan,2017,heat,hold,Ozark,700.8529411764706,700.0,700.0,10.0,False,False,False
320d7194870226f69f73bed87478cbc567b3cac2,Jan,2017,heat,auto,St louis,706.9901639344263,709.5918032786885,709.5918032786885,105.0,False,False,False
320d7194870226f69f73bed87478cbc567b3cac2,Jan,2017,heat,hold,St louis,697.7325688073395,700.4311926605504,700.4311926605504,105.0,False,False,False
3324e917b96a1b1c9beb5d58f9bca00cbf546347,Jan,2017,auto,hold,Kansas City,680.5801282051283,802.7596153846154,689.5512820512822,120.0,False,False,False
336fe47881e24b18c4df340f886c19b5cfa6f2ad,Jan,2017,heat,auto,Springfield,682.3507625272331,695.9956427015251,695.9956427015251,15.0,True,False,False
33d1b0ad709414c94af86cb458bbf538bdb3f451,Jan,2017,cool,hold,Kansas City,669.0,664.0,663.3333333333334,45.0,False,False,False
33d1b0ad709414c94af86cb458bbf538bdb3f451,Jan,2017,heat,hold,Kansas City,662.5836828059473,663.3545558520777,663.3545558520777,45.0,False,False,False
35d49537649643e52c5c1a698f2dc0993bf949ed,Jan,2017,heat,auto,St Charles,664.875,675.7708333333334,654.5208333333334,25.0,False,False,False
3662e9eb8b9da6d34ca3407e945d57a9a5f8dc07,Jan,2017,auto,auto,Eureka,691.1470588235294,715.0,695.0,5.0,False,False,False
3662e9eb8b9da6d34ca3407e945d57a9a5f8dc07,Jan,2017,auto,hold,Eureka,696.8651237031124,725.8571428571429,691.1276935355147,5.0,False,False,False
37361a2758b9c57630007c5cef1543ae4f13b878,Jan,2017,auto,auto,Chesterfield,678.4931506849315,750.0,680.0,25.0,False,False,False
37361a2758b9c57630007c5cef1543ae4f13b878,Jan,2017,auto,hold,Chesterfield,690.3485477178423,789.1784232365144,695.1701244813278,25.0,False,False,False
37f7bb4035fa6239cbe2dc5ac7fbdf322d6db0b9,Jan,2017,heat,hold,Concordia,640.4041666666667,680.0,645.0,20.0,True,True,True
382b652a703b1f846160469dc34d6421876ffc06,Jan,2017,auto,auto,Jefferson City,683.9005524861877,796.2541436464087,661.5469613259669,40.0,False,False,False
38c0b543f514d42ee0cd6d15e96bf91f72fed06a,Jan,2017,heat,auto,Warrenton,649.4042553191489,651.1276595744681,629.5404255319149,0.0,False,False,False
38c0b543f514d42ee0cd6d15e96bf91f72fed06a,Jan,2017,heat,hold,Warrenton,635.8333333333334,652.2666666666668,623.85,0.0,False,False,False
3b9996449052adb7b24fbc9c4a5ef02407c7500a,Jan,2017,heat,auto,Union,712.7807486631017,715.6604278074866,715.6604278074866,10.0,False,False,False
3b9996449052adb7b24fbc9c4a5ef02407c7500a,Jan,2017,heat,hold,Union,713.7656903765691,714.9476987447699,714.9476987447699,10.0,False,False,False
3ba8f3cd76e319de18e711348fd36d03b7900cf0,Jan,2017,heat,auto,St Charles,663.2,672.952380952381,665.4380952380952,50.0,False,False,False
3ba8f3cd76e319de18e711348fd36d03b7900cf0,Jan,2017,heat,hold,St Charles,684.0833333333334,708.46875,684.96875,50.0,False,False,False
3e51db4ae8e17e88f57804262c3e523ca92989e7,Jan,2017,heat,auto,Kansas City,690.875,690.0,690.0,5.0,False,False,False
3e51db4ae8e17e88f57804262c3e523ca92989e7,Jan,2017,heat,hold,Kansas City,691.9722222222223,690.0,690.0,5.0,False,False,False
3fa335d4c16044058aee085adb6bfa07695addde,Jan,2017,heat,hold,Ballwin,703.5833333333335,726.6666666666665,713.3333333333335,55.0,False,False,False
3fb35c010cf24c70b38a496bb5b9e93a2382ef34,Jan,2017,heat,hold,Saint Louis,605.8671679197995,674.9674185463659,611.6691729323309,0.0,False,False,False
418fd1da4508261e25af4388004cec80d146807b,Jan,2017,auto,auto,St. Louis,651.5882352941177,820.0,630.0,110.0,False,False,False
42c2cf9bf9cf52c1443ae1933728ab58cb5c708e,Jan,2017,auto,hold,Defiance,717.9215434083601,779.9839228295821,719.988424437299,30.0,True,False,True
43eb51b2e34d40c644edf6ed9cf7af2f0e9547d4,Jan,2017,heat,auto,Fulton,671.8480000000001,702.072,694.7360000000001,9.0,True,False,False
43eb51b2e34d40c644edf6ed9cf7af2f0e9547d4,Jan,2017,heat,hold,Fulton,684.4397590361447,707.1746987951808,705.3734939759038,9.0,True,False,False
44947722d7a9847cb7fc61ee9a28d999c9a435a4,Jan,2017,heat,auto,Lee's Summit,637.5321100917431,656.7247706422019,628.7133027522934,5.0,False,False,False
44947722d7a9847cb7fc61ee9a28d999c9a435a4,Jan,2017,heat,hold,Lee's Summit,628.2922048997772,650.4561247216036,626.9042316258352,5.0,False,False,False
47067f4cac0157333573e84215e315025920b51f,Jan,2017,heat,auto,Fenton,661.9047619047619,660.0,660.0,35.0,False,False,False
4743f366559ac4f09b1125deadaa5e675b69733a,Jan,2017,heat,hold,St. Louis,636.8148148148148,654.925925925926,601.4074074074074,116.0,False,False,False
484bc203099c57d37cee198cebd175e5041c2c3c,Jan,2017,heat,auto,Raymore,668.8051470588234,674.1764705882352,668.1470588235294,40.0,False,False,True
484bc203099c57d37cee198cebd175e5041c2c3c,Jan,2017,heat,hold,Raymore,670.1122448979592,664.1989795918367,656.2397959183672,40.0,False,False,True
48bc9abe6cc56be6f50d2bb36f7b572c883c0454,Jan,2017,auto,auto,O'fallon,674.8067226890756,726.9103641456583,676.8963585434174,20.0,False,False,False
48bc9abe6cc56be6f50d2bb36f7b572c883c0454,Jan,2017,auto,hold,O'fallon,688.8219178082193,743.37899543379,689.7260273972603,20.0,False,False,False
49c376900c15fb8cc9165b3b8c8c32310f75be8e,Jan,2017,heat,auto,Maryland Heights,669.5111111111112,651.2222222222222,650.0,30.0,False,False,False
49c376900c15fb8cc9165b3b8c8c32310f75be8e,Jan,2017,heat,hold,Maryland Heights,663.7108433734941,659.6024096385543,658.8072289156628,30.0,False,False,False
4a380622e202aa80ab0adbb6f7a8809eb562fb1b,Jan,2017,heat,auto,Ballwin,720.4405405405405,718.872972972973,708.9891891891893,0.0,False,False,False
4aa503a5ce389e2c12f86ed3db77bc611b656b88,Jan,2017,heat,auto,Conway,688.0265957446809,690.1382978723404,689.8829787234042,15.0,False,False,False
4aa503a5ce389e2c12f86ed3db77bc611b656b88,Jan,2017,heat,hold,Conway,664.6514806378133,684.0478359908884,683.879271070615,15.0,False,False,False
4aee5eedb06e0bf818b1a1a1f29e6eebf586e650,Jan,2017,heat,auto,Ballwin,698.2808988764045,698.7078651685392,698.6404494382022,0.0,True,False,False
4aee5eedb06e0bf818b1a1a1f29e6eebf586e650,Jan,2017,heat,hold,Ballwin,705.6818181818181,710.0,710.0,0.0,True,False,False
4f66e668850a2579888f6530bb1b82e3d36d8481,Jan,2017,heat,auto,Chesterfield,671.3333333333334,820.0,680.0,15.0,True,False,False
4fceb8fe73eb3a4a9efb10a5f0107dc3a7a8dff8,Jan,2017,heat,auto,St. Louis,677.1472222222222,680.0,680.0,110.0,False,False,False
4fceb8fe73eb3a4a9efb10a5f0107dc3a7a8dff8,Jan,2017,heat,hold,St. Louis,674.7307692307693,680.0,680.0,110.0,False,False,False
5028e280a8514a928d35f2168ed86ea0dfcc1a66,Jan,2017,heat,auto,Pacific,677.795847750865,703.7024221453287,679.923875432526,45.0,False,False,False
5028e280a8514a928d35f2168ed86ea0dfcc1a66,Jan,2017,heat,hold,Pacific,679.1058201058203,685.5873015873017,681.4215167548501,45.0,False,False,False
50a830ee9ee237599e4d0828a29bf1a04aab25e0,Jan,2017,heat,auto,Dardenne Prairie,709.7195767195767,713.0687830687831,712.3756613756614,10.0,False,False,False
