Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00d2d0e5e17f6dc9a19aa132916fdc6ddacb983e,jul,2017,cool,auto,Fairway,769.3333333333335,741.0833333333335,690.0,80.0,False,False,False
00d2d0e5e17f6dc9a19aa132916fdc6ddacb983e,jul,2017,cool,hold,Fairway,749.8548387096774,738.2741935483872,736.6774193548387,80.0,False,False,False
01a0d7a563a1755d37bb856a01a56e452deb2010,jul,2017,auto,hold,Olathe,755.055806319245,754.7948297086583,690.0,30.0,False,False,False
025ec7c58b524de74d8986f4896917c31052701a,jul,2017,cool,hold,Overland Park,725.54157782516,724.0589907604832,719.9395877754088,5.0,False,False,True
050b44b61d052cae8d52e817cc0f2bb78bb91535,jul,2017,cool,auto,Overland Park,731.5806451612905,726.9032258064516,679.6774193548387,55.0,False,False,False
050b44b61d052cae8d52e817cc0f2bb78bb91535,jul,2017,cool,hold,Overland Park,738.3170731707318,731.5219512195122,730.0585365853658,55.0,False,False,False
05690c952f81cab7baedcdbbb308b5acfd087908,jul,2017,cool,hold,Valley Center,739.5151515151515,722.4242424242424,722.4242424242424,0.0,False,False,False
084de11308d3d8abbb83ac0ce159d35bc7514e11,jul,2017,auto,hold,Wichita,742.2516129032257,740.8038709677419,640.7096774193549,20.0,False,False,False
08a77c94413c8bdef207a2b6797731b587f204b0,jul,2017,cool,auto,Olathe,779.6111111111112,790.0,670.0,35.0,False,False,False
09184ecc6e1675768e04d509bb54e5fc73cf59a4,jul,2017,auto,hold,Olathe,724.4027777777777,703.7083333333335,653.7083333333334,40.0,False,False,False
0c0f153a1d88e4a3d6ca7225ab0adae23f335e2b,jul,2017,cool,hold,Washington,730.829268292683,735.5365853658536,722.6585365853657,45.0,False,False,False
0c5705bfc89c8f5f474eed93f7af8f2e1940d807,jul,2017,cool,auto,Goddard,752.9153439153439,760.4308390022676,748.2343159486016,80.0,False,False,True
0c5705bfc89c8f5f474eed93f7af8f2e1940d807,jul,2017,cool,hold,Goddard,746.6965742251224,751.9450788471995,750.8314301250681,80.0,False,False,True
0f212b2e408b4cf65d1aa438c5b3a4206d060ad2,jul,2017,auto,hold,Holton,760.5921375921376,760.0,680.0,17.0,False,False,False
1064b7ae6c4f1f7b2048cab9a5d31951ebc1f0b4,jul,2017,auto,hold,Pratt,763.0857142857143,756.8571428571429,703.0214285714287,50.0,True,False,False
121d17f2d2440bbdfbff6af1160f6102e095c28c,jul,2017,cool,auto,Olathe,726.5,800.0,630.0,10.0,False,False,False
140220e967676847166978e3cc645831b06b5ec1,jul,2017,cool,hold,Topeka,762.5416666666665,767.5,755.0,0.0,False,False,False
141516a35237e2490e07f491a7fa7843690dcf09,jul,2017,cool,auto,Olathe,746.4,740.0,690.0,20.0,False,False,False
141516a35237e2490e07f491a7fa7843690dcf09,jul,2017,cool,hold,Olathe,718.2820512820513,708.9230769230769,708.9230769230769,20.0,False,False,False
154fd9684671c1f7bf152428154034b8f627ce0f,jul,2017,cool,auto,Leawood,722.1810865191147,720.0,710.0,0.0,False,False,True
154fd9684671c1f7bf152428154034b8f627ce0f,jul,2017,cool,hold,Leawood,713.4494467760397,710.9263639832125,710.919877909195,0.0,False,False,True
1588976fe582bd5ca334ab6f7cd287ccd5eee254,jul,2017,cool,auto,Olathe,722.4567901234567,721.8518518518518,670.0,5.0,False,False,False
1588976fe582bd5ca334ab6f7cd287ccd5eee254,jul,2017,cool,hold,Olathe,728.8305084745763,730.3389830508473,730.3389830508473,5.0,False,False,False
17df8921a8951cc206b08bd2fe530f6458037168,jul,2017,cool,hold,Kansas City,711.9090909090909,686.7272727272727,686.6060606060606,55.0,False,False,False
1902dc7d6f00c525a2249420d56d43aa4b942898,jul,2017,cool,auto,Shawnee,718.0119047619047,700.0,690.0,0.0,False,False,False
1902dc7d6f00c525a2249420d56d43aa4b942898,jul,2017,cool,hold,Shawnee,706.4825,697.98125,697.95625,0.0,False,False,False
1b7457700279f2e60f6fee06661514ed25a71698,jul,2017,cool,auto,Junction City,709.5194751947521,705.3644936449365,668.40098400984,60.0,False,False,False
1b7457700279f2e60f6fee06661514ed25a71698,jul,2017,cool,hold,Junction City,693.9264705882354,690.0,690.0,60.0,False,False,False
1d4cefa6526dc73ab61a7edf7b0d7470963cdcb0,jul,2017,auto,hold,Andover,752.734693877551,750.9183673469388,699.5510204081633,25.0,False,False,False
1d5127d551c44780301313ce717ac4c9dfea79a8,jul,2017,cool,hold,Mission,723.2826086956521,720.1521739130435,719.695652173913,40.0,False,False,False
2016bd5820ebf4f102da8d6d3851285746dc3ade,jul,2017,auto,auto,Overland Park,699.9952561669829,698.3870967741935,648.3870967741935,30.0,False,False,False
2240e295a7795432544da38c5009860d2c297cf5,jul,2017,auto,auto,Wichita,760.6363636363636,760.0909090909091,670.0,30.0,False,False,False
2240e295a7795432544da38c5009860d2c297cf5,jul,2017,auto,hold,Wichita,780.3865779256794,780.0,670.0,30.0,False,False,False
22b4521abfabb3ecc25afbd9bd0a622a08d879f5,jul,2017,cool,auto,Olathe,721.2772083943387,716.971205466081,700.5051244509517,0.0,False,False,False
22b4521abfabb3ecc25afbd9bd0a622a08d879f5,jul,2017,cool,hold,Olathe,708.1179117911792,702.2565256525653,702.2304230423042,0.0,False,False,False
264738cd882534aa2fc9a938faa8126f5ae5816e,jul,2017,cool,auto,Olathe,713.6145833333335,710.0,670.0,5.0,False,False,False
264738cd882534aa2fc9a938faa8126f5ae5816e,jul,2017,cool,hold,Olathe,721.7033158813265,720.4729493891797,720.3263525305409,5.0,False,False,False
2baf96c86b32a63217e7771b6eb6da95ff499ecc,jul,2017,cool,auto,Overland Park,733.305339265851,748.7803114571747,659.8453837597331,55.0,False,False,False
2baf96c86b32a63217e7771b6eb6da95ff499ecc,jul,2017,cool,hold,Overland Park,719.8101265822785,714.2025316455696,711.746835443038,55.0,False,False,False
