Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
007f9b37f1ac5cfe9806f9a1a47809855e7e31b8,aug,2017,cool,hold,South Windsor,720.4733727810651,720.7278106508876,660.0,20.0,False,False,False
0094e2c467552f4b15765889040931605fb22890,aug,2017,cool,auto,Norwalk,720.4901960784314,718.4,650.2,27.0,False,False,False
0094e2c467552f4b15765889040931605fb22890,aug,2017,cool,hold,Norwalk,721.85,710.0,710.0,27.0,False,False,False
011dae903f5512427598b14bbb3f02baa8813745,aug,2017,auto,auto,Shelton,784.8689217758986,780.0021141649048,620.0021141649048,5.0,False,False,False
01440e0a70900810dceaace98a7965a75bc818dc,aug,2017,cool,auto,Guilford,727.8254385964913,740.0,730.0,0.0,False,False,False
01440e0a70900810dceaace98a7965a75bc818dc,aug,2017,cool,hold,Guilford,713.1604095563139,731.6138469039493,731.6138469039493,0.0,False,False,False
01b5776ab24d14ace90a8296c49941a4ba8b0173,aug,2017,auto,auto,New MIlford,705.952380952381,710.0,660.0,5.0,False,False,False
01b5776ab24d14ace90a8296c49941a4ba8b0173,aug,2017,auto,hold,New MIlford,698.2145593869733,710.0,650.0,5.0,False,False,False
0382f14f425de2d9f9645def17ee3cfeada55f78,aug,2017,cool,hold,Waterford,694.9906666666667,694.9573333333333,694.9413333333333,25.0,False,False,True
05d474a41ce90b51ae9627f1dc2a5214d67b2741,aug,2017,cool,hold,Guilford,757.2,765.0,740.0,35.0,False,False,False
0a751de00d076714c9f1c136f2203fae474b7ace,aug,2017,cool,auto,East Hampton,727.6642066420665,750.0239852398524,750.0,0.0,False,False,False
0c0744b5e162dc1ad0a5e47d53e8650ba8ade8cf,aug,2017,auto,auto,Hamden,785.3281501340483,809.1447721179625,681.2697050938337,25.0,False,False,False
0c0744b5e162dc1ad0a5e47d53e8650ba8ade8cf,aug,2017,auto,hold,Hamden,750.8634064080943,751.0657672849916,668.1736930860034,25.0,False,False,False
0c0744b5e162dc1ad0a5e47d53e8650ba8ade8cf,aug,2017,cool,auto,Hamden,741.8888888888888,750.0,680.0,25.0,False,False,False
0d4871b896fc2a5b93007ca0a3a0799970fbf168,aug,2017,heat,hold,New Milford,782.4878048780487,792.0975609756098,792.0975609756098,15.0,False,False,False
0e055c5626b524e51701f81b47f794f8174404c6,aug,2017,cool,auto,Southington,721.5364372469636,730.1781376518219,716.163967611336,20.0,False,False,False
0e055c5626b524e51701f81b47f794f8174404c6,aug,2017,cool,hold,Southington,712.1840490797547,720.5472392638037,720.5435582822086,20.0,False,False,False
