Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
01691a75c606f8718e28a6b747c4cb9675a9060b,feb,2017,heat,auto,Collierville,679.7449908925319,651.648451730419,651.648451730419,20.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,feb,2017,heat,hold,Collierville,688.6928746928747,672.9938574938575,669.3427518427518,20.0,False,False,False
03528fd0510ac074f319f4d196f87f0d2b19fc26,feb,2017,heat,auto,Clarksville,700.9871244635193,697.7424892703863,697.7424892703863,10.0,False,False,True
03528fd0510ac074f319f4d196f87f0d2b19fc26,feb,2017,heat,hold,Clarksville,691.9555984555984,692.9671814671815,692.9671814671815,10.0,False,False,True
0412796faa0aac6a304d59e260da884492969f38,feb,2017,cool,hold,Nashville,679.824644549763,685.4976303317535,685.4976303317535,5.0,True,False,True
0412796faa0aac6a304d59e260da884492969f38,feb,2017,heat,auto,Nashville,644.6055363321799,767.0588235294117,640.0,5.0,True,False,True
0412796faa0aac6a304d59e260da884492969f38,feb,2017,heat,hold,Nashville,669.5902306648576,653.7069199457259,645.1383989145183,5.0,True,False,True
043e33bb323dc5a4b5a9f59e4a9edaa26e5f8392,feb,2017,auto,auto,Memphis,645.33203125,819.94140625,640.01171875,0.0,False,False,False
0568d847e5815d9c0ca0754b34b2d699daebe19b,feb,2017,heat,auto,Antioch,674.5384615384615,687.3846153846154,649.3846153846154,30.0,False,False,False
0595a0cca77c13f5405c88dbdcf9edbc64df7169,feb,2017,auto,auto,Thompsons Station,712.348195329087,760.4628450106158,710.4628450106158,5.0,False,False,False
0595a0cca77c13f5405c88dbdcf9edbc64df7169,feb,2017,auto,hold,Thompsons Station,724.8181818181819,770.0,720.0,5.0,False,False,False
059d5b61a58fce8fe2a2d671283ba942855e3638,feb,2017,auto,auto,Powell,693.5179856115108,722.9712230215828,672.9712230215828,15.0,False,False,False
059d5b61a58fce8fe2a2d671283ba942855e3638,feb,2017,auto,hold,Powell,708.0,757.8705882352941,691.0470588235294,15.0,False,False,False
05b5ca44a489f3ea18b57c7b9f149c35ffea65bc,feb,2017,auto,auto,Franklin,683.2096774193549,706.2903225806451,640.9354838709677,35.0,False,False,True
05b5ca44a489f3ea18b57c7b9f149c35ffea65bc,feb,2017,auto,hold,Franklin,676.3863636363636,760.1212121212121,659.2651515151515,35.0,False,False,True
05b5ca44a489f3ea18b57c7b9f149c35ffea65bc,feb,2017,cool,hold,Franklin,678.3571428571429,650.0,650.0,35.0,False,False,True
05f74336ffabc62ca59f8e22ba1beaba965840f5,feb,2017,heat,auto,Gallatin,689.0427553444181,689.8503562945368,689.6460807600951,15.0,False,False,False
05f74336ffabc62ca59f8e22ba1beaba965840f5,feb,2017,heat,hold,Gallatin,690.9817987152035,691.5064239828694,691.3950749464668,15.0,False,False,False
067389e9545af993e1ce24a8b3de86a709f4f7d4,feb,2017,heat,auto,forest hills,678.5458333333333,690.0,670.0,20.0,False,False,False
07c45945d28d336b9776da64c714860d5598bf65,feb,2017,heat,auto,Memphis,690.7312925170068,690.0,690.0,10.0,True,False,False
081d8a660ef5d2ba0f9128717d3b202a1f26de69,feb,2017,heat,auto,Franklin,722.4761904761905,720.0,720.0,10.0,False,False,False
09c39605981eb65e0fc8bf95d16e5e4503834d92,feb,2017,cool,auto,Lebanon,673.8235294117648,670.0,680.0,30.0,False,False,True
09c39605981eb65e0fc8bf95d16e5e4503834d92,feb,2017,heat,auto,Lebanon,680.2424242424242,670.0,675.5555555555555,30.0,False,False,True
09c39605981eb65e0fc8bf95d16e5e4503834d92,feb,2017,heat,hold,Lebanon,675.9459459459459,676.2263513513514,676.2263513513514,30.0,False,False,True
0a4c659470d1b3b151bc25d09634bcb37b09264f,feb,2017,auto,hold,Hermitage,675.45,729.6,679.6,0.0,False,False,True
