Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0404ace1bcdf88d917bd860a04cd6c66fb51679f,feb,2017,heat,auto,Homer,683.0,710.0,677.0,0.0,True,False,False
0404ace1bcdf88d917bd860a04cd6c66fb51679f,feb,2017,heat,hold,Homer,685.013698630137,686.8356164383563,686.1095890410959,0.0,True,False,False
18c482b133fba9f05f7edac61214d7cd1082ff1a,feb,2017,heat,auto,Anchorage,629.1666666666666,780.0,650.0,5.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,feb,2017,heat,auto,Palmer,593.1619047619048,759.3809523809523,655.8571428571429,0.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,feb,2017,heat,hold,Palmer,628.2941176470587,650.0,620.0,0.0,False,False,False
6085162893ee544ece3ce04e242a68d7a8afe24d,feb,2017,heat,auto,Russian Jack Park,648.6743362831859,650.0,650.0,20.0,False,False,False
6085162893ee544ece3ce04e242a68d7a8afe24d,feb,2017,heat,hold,Russian Jack Park,650.0797011207969,651.6413449564135,651.6413449564135,20.0,False,False,False
81a7bd30ff87a8f606e1378fe9117abbded76a9c,feb,2017,heat,auto,Chugiak,608.9220779220781,780.2337662337661,619.7662337662338,10.0,True,False,False
a799538555e2fb23d035a9aa0004122110571484,feb,2017,heat,auto,Anchorage,681.3333333333334,681.0,671.0,40.0,False,False,False
a799538555e2fb23d035a9aa0004122110571484,feb,2017,heat,hold,Anchorage,699.0,670.0,670.0,40.0,False,False,False
b2926c336f48d0bdbcd5343bb68676b3a9364748,feb,2017,heat,auto,Healy,674.4444444444445,734.0,681.0555555555555,10.0,False,False,False
b2926c336f48d0bdbcd5343bb68676b3a9364748,feb,2017,heat,hold,Healy,681.0392156862745,697.8039215686273,696.1372549019608,10.0,False,False,False
be4f2a63b7719c2a69aa285e8a38038c29df8fa6,feb,2017,heat,auto,Anchorage,694.9705882352941,682.5,680.7352941176471,0.0,False,False,False
be4f2a63b7719c2a69aa285e8a38038c29df8fa6,feb,2017,heat,hold,Anchorage,703.2857142857142,740.0,740.0,0.0,False,False,False
d52d6af22f2bcad8215f8eec1a710dd00e190c7b,feb,2017,heat,auto,Wasilla,688.9484126984128,690.0,690.0,5.0,False,False,False
fda1f67e8423ed49933c45617ee96aef3bae04ba,feb,2017,heat,auto,Wasilla,717.4685714285713,725.1085714285713,724.382857142857,0.0,False,False,False
fda1f67e8423ed49933c45617ee96aef3bae04ba,feb,2017,heat,hold,Wasilla,718.0412698412697,720.0952380952382,719.9507936507938,0.0,False,False,False
0404ace1bcdf88d917bd860a04cd6c66fb51679f,feb,2018,heat,auto,Homer,674.9230769230769,651.6923076923077,642.3076923076923,0.0,True,False,False
0404ace1bcdf88d917bd860a04cd6c66fb51679f,feb,2018,heat,hold,Homer,671.0218340611352,670.410480349345,667.3056768558953,0.0,True,False,False
0e0d17a6d14f69ec9ccaa6e561c3d01e409ee183,feb,2018,heat,auto,Anchorage,635.6451612903227,656.3225806451613,644.2741935483872,20.0,False,False,False
0e0d17a6d14f69ec9ccaa6e561c3d01e409ee183,feb,2018,heat,hold,Anchorage,649.2097026604067,658.2394366197183,649.4553990610327,20.0,False,False,False
18c482b133fba9f05f7edac61214d7cd1082ff1a,feb,2018,heat,auto,Anchorage,665.8888888888888,780.0,670.0,5.0,False,False,False
2a539ed50bd05f9b142b5b5a0c9cce50f5cf0e7a,feb,2018,heat,hold,Anchorage,641.6916666666667,654.65,645.0416666666666,0.0,False,False,False
31ec2a66ddeac26df7dbbeffa7f98c4e2de26aff,feb,2018,heat,auto,Anchorage,687.0,705.5,686.5,25.0,False,False,False
31ec2a66ddeac26df7dbbeffa7f98c4e2de26aff,feb,2018,heat,hold,Anchorage,671.0,750.0,673.0,25.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,feb,2018,heat,auto,Palmer,647.921052631579,650.0,650.0,0.0,False,False,False
364d90d4305e64cf8a54685a3669aca9ba7667ed,feb,2018,heat,hold,Palmer,657.7407407407408,660.0,660.0,0.0,False,False,False
3654199336ff5b48ce49831ad348a290efc595b6,feb,2018,heat,hold,Palmer,640.6666666666666,670.8484848484849,657.5757575757576,15.0,True,False,False
