Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0034438232b9c99f7034f4e329ea2203949d0e9a,dec,2017,heat,auto,Manchester,697.3106796116506,780.2815533980583,699.5776699029126,40.0,False,False,False
005b44ffe2812f645179dccec3443da1ec58a68d,dec,2017,heat,hold,Kirkwood,688.6333333333333,691.1694444444445,691.1694444444445,0.0,False,False,False
01077fe00e6bddb7480aa62c3efecbfc1b5de9c4,dec,2017,auto,hold,Lee's Summit,678.4222222222222,760.0,680.0111111111112,17.0,False,False,True
01088b49408ab4b9d13e0d7132362623ea0db85c,dec,2017,auto,hold,Independence,697.8744063324539,770.0,700.3984168865434,20.0,False,False,False
010b10cbfd269afb215575dcb8620c0e9baf1e55,dec,2017,heat,hold,St. Louis,696.3719298245613,705.905701754386,699.2609649122808,90.0,False,False,False
01ba0147c60a7211c7aaed335054b4ab06051e35,dec,2017,heat,auto,Wildwood,672.3383458646616,789.2481203007518,671.9548872180451,30.0,True,False,True
01ba0147c60a7211c7aaed335054b4ab06051e35,dec,2017,heat,hold,Wildwood,694.766081871345,696.1871345029241,695.7894736842105,30.0,True,False,True
0201b3ead65d2efb008132d6aa3f8023f32f530d,dec,2017,heat,auto,Oran,696.6101426307448,694.5832012678287,694.5832012678287,50.0,False,False,False
0201b3ead65d2efb008132d6aa3f8023f32f530d,dec,2017,heat,hold,Oran,700.9786476868327,702.5195729537368,702.5195729537368,50.0,False,False,False
022ca80b9cb18dbbc868c84e90c30a7eb88e6e56,dec,2017,heat,hold,Wildwood,720.9318181818181,725.4545454545455,725.1818181818181,5.0,False,False,False
026a4ead39fceb50d879f35413653cf8b4be578e,dec,2017,auto,hold,Herculaneum,679.7609756097561,780.0,676.2073170731708,60.0,False,False,False
032256f0c3f84afabb439e80af499e07c3b0890f,dec,2017,heat,auto,-kansas city,701.1538461538463,693.5734265734267,693.4895104895105,25.0,False,False,False
032256f0c3f84afabb439e80af499e07c3b0890f,dec,2017,heat,hold,-kansas city,682.6761904761905,684.4857142857143,684.4857142857143,25.0,False,False,False
039f6f611e9de5992ad5344f6207015aa55b986a,dec,2017,heat,auto,Chesterfield,686.3333333333334,700.0,700.0,46.0,False,False,False
03d081f652048a691168648e95540d11a37325f7,dec,2017,heat,auto,holden,700.9470967741936,754.1819354838708,702.7793548387098,15.0,True,False,True
0494e5c840147603fbc41e9d20ee03714d8155ca,dec,2017,heat,auto,St. Charles,633.1294117647059,650.5294117647059,632.8705882352941,40.0,False,False,False
0494e5c840147603fbc41e9d20ee03714d8155ca,dec,2017,heat,hold,St. Charles,633.8314606741573,650.0,632.8651685393259,40.0,False,False,False
04dc98fe0838b0828b45d0d11f3923f915db5148,dec,2017,heat,auto,Columbia,660.2928802588998,662.5242718446602,658.0954692556634,20.0,False,False,False
04dc98fe0838b0828b45d0d11f3923f915db5148,dec,2017,heat,hold,Columbia,676.6631908237747,676.4702815432743,676.3952033368092,20.0,False,False,False
052a05aa1aac629c2150c63348a6bc228e8c9dee,dec,2017,auto,auto,Imperial,713.6635514018692,764.5747663551402,714.5747663551402,15.0,False,False,False
