Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2017,cool,auto,Casper,682.7319321533922,805.1327433628319,670.8849557522124,30.0,True,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2017,cool,hold,Casper,688.8055555555555,740.0,740.0,30.0,True,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2017,auto,hold,Laramie,698.1721854304635,716.2086092715233,666.2086092715233,10.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2017,cool,auto,Laramie,677.3333333333334,680.0,660.0,10.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2017,cool,hold,Laramie,697.6422018348624,700.2935779816513,699.5504587155963,10.0,False,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,aug,2017,cool,hold,Cheyenne,746.7272727272727,795.9090909090909,780.0,15.0,False,False,False
7ab7401981ce316104ff89f1cea82a92a571929d,aug,2017,cool,hold,Gillette,708.9411764705882,700.0,700.0,40.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,aug,2017,cool,auto,Mills,736.9665653495441,779.9037487335361,771.0233029381966,5.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,aug,2017,cool,hold,Mills,737.3564686285397,779.0044419766797,778.9966685174902,5.0,False,False,False
9702c844ff5c002bad15c001c0c0c6890fe63fad,aug,2017,auto,hold,Sundance,730.5207328833172,756.5303760848602,661.8621022179364,5.0,False,False,False
9dad86d4f2bedcb59aa71c38c6812466cb5395bc,aug,2017,auto,auto,Worland,716.5722222222223,715.0,665.0,5.0,False,False,False
9dad86d4f2bedcb59aa71c38c6812466cb5395bc,aug,2017,auto,hold,Worland,735.013157894737,734.2565789473683,680.0,5.0,False,False,False
a3a3fd48e1b69634ca3859998f7684d1593abcda,aug,2017,cool,auto,Cheyenne,726.0,726.5344827586208,710.0,0.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2017,cool,auto,Rock Springs,747.5993150684932,717.9897260273973,749.5719178082193,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2017,cool,hold,Rock Springs,750.9252873563219,732.5,732.5,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2017,heat,auto,Rock Springs,747.5430107526881,734.1155913978495,748.8790322580646,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2017,heat,hold,Rock Springs,729.6777251184834,731.5165876777252,731.611374407583,25.0,False,False,False
b1ab05cfc5e253a7dbb44754bc3b0da3067fee99,aug,2017,auto,hold,Sheridan,702.2518518518518,735.0,685.0,10.0,True,False,False
bf6d438eb76928160901cfa1eab34d8634017401,aug,2017,cool,auto,Casper,729.3344103392569,799.016155088853,715.6219709208401,40.0,False,False,False
bf6d438eb76928160901cfa1eab34d8634017401,aug,2017,cool,hold,Casper,711.0154525386314,746.3995584988962,745.5474613686534,40.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2017,cool,auto,Casper,679.6869369369371,679.759009009009,699.518018018018,40.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2017,cool,hold,Casper,674.1396648044692,675.2011173184358,688.8175046554935,40.0,False,False,False
00098d05dc32580dc5bff640242bfd6d439aaa52,aug,2018,cool,hold,Casper,675.9565217391304,734.8985507246376,731.304347826087,40.0,False,False,False
0c66b3c257332a7615e55763a8a5add2f19a1aaa,aug,2018,cool,auto,Casper,715.3888888888887,723.3333333333335,723.2074074074077,10.0,False,False,False
0c66b3c257332a7615e55763a8a5add2f19a1aaa,aug,2018,cool,hold,Casper,726.7944444444445,729.8888888888887,729.8888888888887,10.0,False,False,False
1106923a29a547265ce04105011ffbc681bff796,aug,2018,cool,hold,Cheyenne,690.8111111111111,720.0,720.0,5.0,False,False,False
120fb1335b23613f696e612433d9fc4a8b87edfa,aug,2018,cool,auto,Pine Haven,795.375,790.0,770.0,5.0,False,False,False
16913980a67e1faa9fb0fe491f8d36b4477f965a,aug,2018,cool,hold,Cheyenne,705.3972602739726,740.0,740.0,10.0,False,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2018,cool,auto,Casper,702.5679513184584,796.5801217038539,786.9249492900609,30.0,True,False,False
1d00854c03d26e989b137715f96f49c087b12e6b,aug,2018,heat,hold,Casper,672.6724615772233,650.0,610.0,0.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2018,auto,auto,Laramie,701.7058823529413,700.1372549019608,670.0,10.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,aug,2018,cool,hold,Gillette,721.5416666666665,701.5416666666665,699.375,35.0,False,False,False
336df4fa2ebfb1b7a1bc23dd117037a5955effa8,aug,2018,heat,auto,Evanston,720.9237012987013,702.4924242424244,675.3847402597402,0.0,False,False,False
336df4fa2ebfb1b7a1bc23dd117037a5955effa8,aug,2018,heat,hold,Evanston,713.6482164821648,668.2927429274292,664.2164821648216,0.0,False,False,False
338d0307f8579900d1f54af0c7475fd0e3a6af35,aug,2018,cool,hold,Green River,731.8125,723.0,723.0,0.0,False,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,aug,2018,cool,auto,Cheyenne,768.5641025641023,790.0,780.0,15.0,False,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,aug,2018,cool,hold,Cheyenne,759.3125,780.0,780.0,15.0,False,False,False
4698711909dcaeba4a60bdebf8e6b23a8f77e0d1,aug,2018,cool,hold,Sheridan,686.6551724137931,703.4896551724138,703.4413793103447,5.0,False,False,False
4698711909dcaeba4a60bdebf8e6b23a8f77e0d1,aug,2018,heat,hold,Sheridan,695.8103448275862,703.1034482758621,703.1034482758621,5.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,aug,2018,cool,hold,Gillette,702.6300227445032,710.0,710.0,10.0,False,False,False
5ec6580adf42b467f21b502112c59efb3530f1cc,aug,2018,cool,auto,Cheyenne,730.9714285714285,740.0,680.0,8.0,False,False,False
5ec6580adf42b467f21b502112c59efb3530f1cc,aug,2018,cool,hold,Cheyenne,735.55,740.0,680.0,8.0,False,False,False
72df1b91adcdf06d62e1f0be577ab3e301560c29,aug,2018,cool,hold,Casper,719.3333333333335,750.0,682.3333333333334,5.0,False,False,False
74345f495365ac5a65c267f410df97fac944a148,aug,2018,cool,auto,Casper,746.8611111111113,820.0,640.0,0.0,False,False,False
74345f495365ac5a65c267f410df97fac944a148,aug,2018,cool,hold,Casper,681.0,736.3333333333335,733.3333333333335,0.0,False,False,False
759b41e328c1a31c0c37d8ee8ac5f45fdd644a17,aug,2018,cool,auto,Casper,758.875,820.0,620.0,0.0,False,False,False
845844d0ce166784be286e3eb5d0189cababa2ff,aug,2018,cool,auto,Cheyenne,711.8,730.3,727.9,9.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,aug,2018,auto,auto,Mills,731.2154788418708,761.2126948775058,700.0061247216037,5.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,aug,2018,auto,hold,Mills,727.3319559228653,750.038567493113,700.0,5.0,False,False,False
9702c844ff5c002bad15c001c0c0c6890fe63fad,aug,2018,auto,hold,Sundance,722.8461538461537,780.0,720.0,5.0,False,False,False
9702c844ff5c002bad15c001c0c0c6890fe63fad,aug,2018,cool,hold,Sundance,727.0987124463519,735.8412017167383,735.8412017167383,5.0,False,False,False
9d6a98350302417c9b2f10ae3c235d52a3bf7097,aug,2018,auto,auto,Sheridan,680.125,729.9375,679.25,0.0,False,False,False
9d6a98350302417c9b2f10ae3c235d52a3bf7097,aug,2018,auto,hold,Sheridan,712.5625,740.0,650.0,0.0,False,False,False
9dad86d4f2bedcb59aa71c38c6812466cb5395bc,aug,2018,cool,auto,Worland,717.8571428571429,780.0,780.0,5.0,False,False,False
9dad86d4f2bedcb59aa71c38c6812466cb5395bc,aug,2018,cool,hold,Worland,701.1418439716313,708.145390070922,708.145390070922,5.0,False,False,False
a3a3fd48e1b69634ca3859998f7684d1593abcda,aug,2018,cool,auto,Cheyenne,742.5714285714287,731.0,700.0,0.0,False,False,False
a3a3fd48e1b69634ca3859998f7684d1593abcda,aug,2018,cool,hold,Cheyenne,739.2,750.0,700.0,0.0,False,False,False
a9149145810c584aacd22f8c977f235117275828,aug,2018,cool,auto,Cheyenne,715.9473684210526,720.0,720.0,0.0,False,False,False
a9149145810c584aacd22f8c977f235117275828,aug,2018,cool,hold,Cheyenne,709.1834403997145,712.1991434689508,712.1970021413276,0.0,False,False,False
a9149145810c584aacd22f8c977f235117275828,aug,2018,heat,hold,Cheyenne,735.5555555555555,728.2222222222223,726.8888888888887,0.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2018,cool,auto,Rock Springs,742.9494252873562,720.7908045977011,749.0436781609195,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2018,cool,hold,Rock Springs,729.6657754010695,710.9705882352941,711.0401069518716,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2018,heat,auto,Rock Springs,755.1757188498402,747.9872204472844,758.0031948881789,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2018,heat,hold,Rock Springs,745.6944937833036,746.4333925399644,746.4724689165187,25.0,False,False,False
b1ab05cfc5e253a7dbb44754bc3b0da3067fee99,aug,2018,auto,auto,Sheridan,675.8125,720.0,670.0,10.0,True,False,False
bf6d438eb76928160901cfa1eab34d8634017401,aug,2018,cool,auto,Casper,741.0666666666667,743.9555555555555,740.2222222222223,40.0,False,False,False
bf6d438eb76928160901cfa1eab34d8634017401,aug,2018,cool,hold,Casper,711.1296296296298,735.7962962962962,735.5370370370372,40.0,False,False,False
d47cc2218ecd2b265d190fe1eeb96582e0255951,aug,2018,cool,auto,Cheyenne,732.6875,730.2708333333335,729.4583333333335,0.0,False,False,False
d975b1ad1272e42f9eb089583ef55bb8891c93c8,aug,2018,cool,auto,Cheyenne,673.1333333333333,681.0666666666667,767.7333333333332,30.0,False,False,False
dc326531b041e75638806c6be6a703a818bd1eee,aug,2018,heat,hold,Star Valley Ranch,705.1,742.3,731.3,10.0,False,False,False
dfd6614b4f44b374e9c9f7c6d107bb8953ce70b9,aug,2018,auto,hold,Trail Dr,704.6666666666665,740.0,680.0,35.0,False,False,False
e27714a971be3d2318c80f77a38f0635b4421172,aug,2018,cool,auto,Rock Springs,711.9166666666665,722.2916666666665,690.2083333333335,10.0,False,False,False
e27714a971be3d2318c80f77a38f0635b4421172,aug,2018,cool,hold,Rock Springs,725.9941520467836,763.5730994152046,763.485380116959,10.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2018,cool,auto,Casper,682.8059701492538,716.6268656716417,670.776119402985,40.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2018,cool,hold,Casper,690.4347826086956,677.6521739130435,676.768115942029,40.0,False,False,False
fd6f912f4a2d7719632507d63c67bab631ea3732,aug,2018,auto,auto,Buffalo,712.065476190476,770.0,680.0,45.0,True,False,False
fd6f912f4a2d7719632507d63c67bab631ea3732,aug,2018,cool,hold,Buffalo,726.7222222222223,760.0,760.0,45.0,True,False,False
0c66b3c257332a7615e55763a8a5add2f19a1aaa,aug,2019,cool,auto,Casper,722.9583333333335,720.125,719.5,10.0,False,False,False
0c66b3c257332a7615e55763a8a5add2f19a1aaa,aug,2019,cool,hold,Casper,718.625,709.8125,709.03125,10.0,False,False,False
0d3e37e5491571879cac5a29d991fc0693ac416b,aug,2019,cool,auto,Evansville,740.75,730.0,721.0,80.0,False,False,False
1106923a29a547265ce04105011ffbc681bff796,aug,2019,cool,hold,Cheyenne,706.8571428571429,710.0,700.0,5.0,False,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2019,cool,auto,Casper,703.8235294117646,700.5294117647059,700.5294117647059,30.0,True,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2019,cool,hold,Casper,700.0833333333335,730.25,728.875,30.0,True,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2019,auto,auto,Laramie,736.9130434782608,720.0,670.0,10.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2019,cool,auto,Laramie,701.7142857142858,724.0,713.1428571428571,10.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,aug,2019,cool,auto,Gillette,744.3666666666667,750.0,680.0,35.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,aug,2019,cool,hold,Gillette,711.9047619047618,769.5238095238095,715.7142857142858,35.0,False,False,False
338d0307f8579900d1f54af0c7475fd0e3a6af35,aug,2019,cool,hold,Green River,754.3333333333335,738.0,738.0,0.0,False,False,False
346d6a205129b9d881a6f6b4d15f12a6836eb41a,aug,2019,cool,auto,Laramie,705.6044444444444,720.0,720.0,10.0,False,False,False
3f04cb50110e414b14944a34de26133900b1d5ef,aug,2019,cool,auto,Cheyenne,670.5,769.5,769.2916666666665,10.0,True,False,False
3f04cb50110e414b14944a34de26133900b1d5ef,aug,2019,cool,hold,Cheyenne,697.4878048780487,710.1219512195122,707.0,10.0,True,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,aug,2019,cool,auto,Cheyenne,742.7868852459018,750.0,750.0,15.0,False,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,aug,2019,cool,hold,Cheyenne,748.8661800486618,781.6155717761557,772.2141119221411,15.0,False,False,False
4bbb3af3bf9fa9aad1b6506c83e556860e848321,aug,2019,cool,hold,Cheyenne,712.6666666666665,705.4761904761905,704.2857142857142,0.0,True,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,aug,2019,cool,auto,Gillette,696.9428571428572,690.0,690.0,10.0,False,False,False
5e37ac02a37fe85e838f75af25a2e05a1df84da1,aug,2019,cool,hold,Gillette,754.2850467289719,754.3831775700935,754.376168224299,0.0,True,False,False
5ec6580adf42b467f21b502112c59efb3530f1cc,aug,2019,cool,auto,Cheyenne,732.9444444444445,750.0,750.0,8.0,False,False,False
64914792287007003436e1e8a61fcc099d4542d2,aug,2019,cool,auto,Cheyenne,701.3585737179487,700.0,700.0,0.0,False,False,False
74345f495365ac5a65c267f410df97fac944a148,aug,2019,cool,auto,Casper,703.625,793.3125,780.4375,0.0,False,False,False
759b41e328c1a31c0c37d8ee8ac5f45fdd644a17,aug,2019,cool,auto,Casper,735.6129032258065,765.0806451612905,765.0806451612905,0.0,False,False,False
7ab7401981ce316104ff89f1cea82a92a571929d,aug,2019,cool,hold,Gillette,732.3786407766991,750.0,750.0,40.0,False,False,False
7d1f639767fe028c56faaa9e85feab4fdc273206,aug,2019,cool,auto,Cheyenne,719.9411764705882,720.0,720.0,10.0,False,False,False
7d1f639767fe028c56faaa9e85feab4fdc273206,aug,2019,cool,hold,Cheyenne,704.6222222222223,700.0,700.0,10.0,False,False,False
845844d0ce166784be286e3eb5d0189cababa2ff,aug,2019,cool,auto,Cheyenne,705.1470588235294,710.2058823529413,709.7058823529413,9.0,False,False,False
845844d0ce166784be286e3eb5d0189cababa2ff,aug,2019,cool,hold,Cheyenne,714.24,720.96,720.12,9.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,aug,2019,auto,auto,Mills,737.9728448275862,768.2413793103449,699.7758620689655,5.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,aug,2019,auto,hold,Mills,742.4401408450705,762.0915492957747,699.9753521126761,5.0,False,False,False
8f3774e0edc69b802bb139e6708e033261622da5,aug,2019,cool,auto,Casper,724.7938517179024,736.9168173598554,736.9168173598554,10.0,True,False,False
8f3774e0edc69b802bb139e6708e033261622da5,aug,2019,cool,hold,Casper,723.9931292941911,735.3266708307308,735.3266708307308,10.0,True,False,False
9702c844ff5c002bad15c001c0c0c6890fe63fad,aug,2019,auto,hold,Sundance,707.0,780.0,670.0,5.0,False,False,False
9d6a98350302417c9b2f10ae3c235d52a3bf7097,aug,2019,auto,hold,Sheridan,701.1429308565532,750.0,680.0,0.0,False,False,False
9dad86d4f2bedcb59aa71c38c6812466cb5395bc,aug,2019,cool,hold,Worland,714.3965517241379,706.8965517241379,706.8965517241379,5.0,False,False,False
a3a3fd48e1b69634ca3859998f7684d1593abcda,aug,2019,cool,hold,Cheyenne,729.0674157303371,754.4063670411985,752.6966292134831,0.0,False,False,False
a9149145810c584aacd22f8c977f235117275828,aug,2019,auto,auto,Cheyenne,706.453125,704.375,654.375,0.0,False,False,False
a9149145810c584aacd22f8c977f235117275828,aug,2019,auto,hold,Cheyenne,733.7586206896551,733.198275862069,652.5517241379309,0.0,False,False,False
a9149145810c584aacd22f8c977f235117275828,aug,2019,heat,hold,Cheyenne,719.4444444444445,707.4444444444445,662.8888888888888,0.0,False,False,False
ab20bcf291e58402ba42a43560f2f7f7ca72c776,aug,2019,auto,auto,Cheyenne,711.9318181818181,695.0681818181819,645.0681818181819,29.0,True,False,False
ab20bcf291e58402ba42a43560f2f7f7ca72c776,aug,2019,auto,hold,Cheyenne,714.7692307692308,713.0,663.0,29.0,True,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2019,cool,auto,Rock Springs,762.04,722.68,764.4,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2019,cool,hold,Rock Springs,737.5081723625557,717.5468053491827,717.5468053491827,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2019,heat,auto,Rock Springs,743.8235294117646,749.1176470588235,740.8823529411765,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2019,heat,hold,Rock Springs,739.9298245614035,743.5087719298245,743.5087719298245,25.0,False,False,False
bf6d438eb76928160901cfa1eab34d8634017401,aug,2019,cool,auto,Casper,725.3333333333335,730.0,730.0,40.0,False,False,False
bf6d438eb76928160901cfa1eab34d8634017401,aug,2019,cool,hold,Casper,701.0322580645161,701.516129032258,692.483870967742,40.0,False,False,False
d975b1ad1272e42f9eb089583ef55bb8891c93c8,aug,2019,cool,auto,Cheyenne,681.8170731707318,720.0487804878047,703.9634146341464,30.0,False,False,False
d975b1ad1272e42f9eb089583ef55bb8891c93c8,aug,2019,cool,hold,Cheyenne,694.3809523809523,743.3333333333335,743.3333333333335,30.0,False,False,False
db3d168d1ad94da910a56cc7efd5a591dbe48ca3,aug,2019,cool,auto,Powell,723.3333333333335,720.0416666666665,719.7916666666665,10.0,True,False,False
dfd6614b4f44b374e9c9f7c6d107bb8953ce70b9,aug,2019,auto,hold,Trail Dr,738.9953917050691,742.2165898617511,650.0138248847926,35.0,False,False,False
e00072f1ac4d3038b053e069b7dd787b96c6ee5b,aug,2019,cool,auto,Powell,726.6323529411765,736.8676470588235,735.5,70.0,False,False,False
f045e632eb732cd0703e069e70aef34bb8b50ad0,aug,2019,cool,auto,Evanston,737.0,720.0,720.0,10.0,False,False,False
f045e632eb732cd0703e069e70aef34bb8b50ad0,aug,2019,cool,hold,Evanston,721.543859649123,731.1052631578948,731.1052631578948,10.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2019,cool,auto,Casper,704.6550218340611,705.3493449781662,681.1310043668122,40.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2019,cool,hold,Casper,705.9951923076923,707.2451923076923,680.0625,40.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2019,heat,hold,Casper,708.0769230769231,720.0,670.0,40.0,False,False,False
f5be20356f7cafa6712707b496d91af1ddbdabe0,aug,2019,cool,auto,Gillette,697.7465753424658,720.0,720.0,10.0,True,False,False
f5be20356f7cafa6712707b496d91af1ddbdabe0,aug,2019,cool,hold,Gillette,715.2083333333335,717.6333333333333,717.125,10.0,True,False,False
f766ec9ff77cacb6b7c07ef6ac6a6f039c751748,aug,2019,auto,auto,Cheyenne,703.7115384615387,731.8333333333335,673.8846153846154,5.0,False,False,False
00098d05dc32580dc5bff640242bfd6d439aaa52,aug,2020,cool,hold,Casper,706.0869565217392,700.0,700.0,40.0,False,False,False
0c66b3c257332a7615e55763a8a5add2f19a1aaa,aug,2020,cool,auto,Casper,730.5260115606936,732.3294797687863,684.7630057803467,10.0,False,False,False
0c66b3c257332a7615e55763a8a5add2f19a1aaa,aug,2020,cool,hold,Casper,725.625,720.0416666666665,719.9166666666665,10.0,False,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2020,cool,auto,Casper,705.9512195121953,770.0,770.0,30.0,True,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2020,cool,hold,Casper,704.7291666666665,748.3333333333335,748.3333333333335,30.0,True,False,False
26956f7054af3cbd1c6945b87a40be93f68123bb,aug,2020,auto,hold,Gillette,709.0344827586208,748.2586206896551,610.0,10.0,True,False,False
26956f7054af3cbd1c6945b87a40be93f68123bb,aug,2020,cool,auto,Gillette,766.5,751.0,710.0,10.0,True,False,False
26956f7054af3cbd1c6945b87a40be93f68123bb,aug,2020,heat,auto,Gillette,739.4176829268292,729.1829268292682,729.1829268292682,10.0,True,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2020,auto,auto,Laramie,721.4354838709677,720.0645161290323,660.2258064516128,10.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2020,auto,hold,Laramie,723.4375,730.0,670.0,10.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,aug,2020,cool,hold,Gillette,737.6527777777777,730.2638888888887,729.3333333333335,35.0,False,False,False
338d0307f8579900d1f54af0c7475fd0e3a6af35,aug,2020,cool,hold,Green River,733.25,750.375,748.0416666666665,0.0,False,False,False
346d6a205129b9d881a6f6b4d15f12a6836eb41a,aug,2020,auto,hold,Laramie,717.0,775.0,705.0,10.0,False,False,False
346d6a205129b9d881a6f6b4d15f12a6836eb41a,aug,2020,cool,hold,Laramie,698.0959792477303,738.7431906614786,738.7055771725032,10.0,False,False,False
3f04cb50110e414b14944a34de26133900b1d5ef,aug,2020,cool,auto,Cheyenne,571.0,646.5,619.0,10.0,True,False,False
3f04cb50110e414b14944a34de26133900b1d5ef,aug,2020,cool,hold,Cheyenne,620.7333333333332,609.0,619.0,10.0,True,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,aug,2020,cool,hold,Cheyenne,754.2285115303984,764.7190775681341,760.0859538784067,15.0,False,False,False
4698711909dcaeba4a60bdebf8e6b23a8f77e0d1,aug,2020,cool,hold,Sheridan,706.0277777777777,712.6055555555556,712.6055555555556,5.0,False,False,False
4bbb3af3bf9fa9aad1b6506c83e556860e848321,aug,2020,cool,auto,Cheyenne,707.8333333333335,692.5416666666665,642.5416666666666,0.0,True,False,False
4bbb3af3bf9fa9aad1b6506c83e556860e848321,aug,2020,cool,hold,Cheyenne,718.75,742.0,742.0,0.0,True,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,aug,2020,cool,auto,Gillette,698.7301886792453,697.2679245283017,696.795283018868,10.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,aug,2020,cool,hold,Gillette,709.96875,675.0,675.0,10.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,aug,2020,heat,auto,Gillette,681.1666666666666,700.0,700.0,10.0,False,False,False
5e37ac02a37fe85e838f75af25a2e05a1df84da1,aug,2020,auto,hold,Gillette,644.4,741.8,691.8,0.0,True,False,False
5e37ac02a37fe85e838f75af25a2e05a1df84da1,aug,2020,cool,hold,Gillette,698.25,720.0,720.0,0.0,True,False,False
5ec6580adf42b467f21b502112c59efb3530f1cc,aug,2020,cool,hold,Cheyenne,738.3269230769231,750.0,669.5641025641024,8.0,False,False,False
64914792287007003436e1e8a61fcc099d4542d2,aug,2020,cool,auto,Cheyenne,709.3037037037037,708.4728395061728,722.2222222222223,0.0,False,False,False
64914792287007003436e1e8a61fcc099d4542d2,aug,2020,cool,hold,Cheyenne,719.6478658536586,720.0,720.0,0.0,False,False,False
759b41e328c1a31c0c37d8ee8ac5f45fdd644a17,aug,2020,cool,auto,Casper,753.5184135977338,776.0,637.3031161473087,0.0,False,False,False
