Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
034f98fe8f4117d011824b1b5c1cfe823fbc29fb,aug,2017,auto,auto,CLOVIS,768.7857142857142,780.0,700.0,15.0,False,False,True
034f98fe8f4117d011824b1b5c1cfe823fbc29fb,aug,2017,auto,hold,CLOVIS,771.1538461538463,760.0,680.0,15.0,False,False,True
09128eee40d1b9752e3aec43ebf9db92c8f7a61d,aug,2017,cool,auto,Las Cruces,729.1481481481482,729.2222222222223,690.0,25.0,False,False,False
09128eee40d1b9752e3aec43ebf9db92c8f7a61d,aug,2017,cool,hold,Las Cruces,733.2602739726027,742.1095890410959,711.8219178082193,25.0,False,False,False
0c1cc54cbd5e7030b0946152616aabe3cb31ff5e,aug,2017,auto,hold,Alamogordo,754.3276836158193,756.8022598870058,550.0,0.0,False,False,False
0c683e9af00af3beb63a8a80e406315b523683d0,aug,2017,cool,hold,Ruidoso,711.8751033912323,788.2076095947065,788.2076095947065,20.0,False,False,False
0ec51b6ac76933e8ca30d8963d6d71d43a266f61,aug,2017,cool,auto,Albuquerque,733.8229410512877,750.1821664183868,638.2726111938712,35.0,False,False,False
0ec51b6ac76933e8ca30d8963d6d71d43a266f61,aug,2017,cool,hold,Albuquerque,711.0158730158729,710.8412698412699,710.5873015873017,35.0,False,False,False
1475fecad1c559962afb1d690b01d87cba9156ea,aug,2017,auto,auto,Clovis,756.0090497737558,756.9411764705882,706.9411764705882,0.0,False,False,False
1475fecad1c559962afb1d690b01d87cba9156ea,aug,2017,auto,hold,Clovis,750.7061281337047,752.6155988857938,697.2924791086351,0.0,False,False,False
15a693724ac106cb63d40bc8a2ae25dc91683b82,aug,2017,auto,hold,Albuquerque,749.0,745.0,620.0,25.0,False,False,False
1a82e4e66dc2b2801e4f2644ba4ac13d2c036a8f,aug,2017,cool,hold,Roswell,740.9813620071684,740.0,740.0,100.0,False,False,False
1e20a0c7db767f86be4c91e31c81c9751d2994a0,aug,2017,auto,hold,Albuquerque,758.6926229508197,759.4730679156909,706.8501170960187,5.0,False,False,False
1f5e29977a2ceb7bcb29e01ead3cee908e1a18e3,aug,2017,auto,auto,Albuquerque,742.5555555555555,820.0,640.0,0.0,False,False,False
21f65cd96df07cf57f767730caa24e20b5495560,aug,2017,cool,auto,Mesquite,781.8256880733944,793.8899082568807,655.7706422018349,25.0,False,False,False
21f65cd96df07cf57f767730caa24e20b5495560,aug,2017,cool,hold,Mesquite,782.0113798008534,781.9630156472261,781.1137980085349,25.0,False,False,False
25d40c374ccc63bb812019b3ab711f4821c2efb2,aug,2017,cool,auto,Roswell,750.0254452926207,767.1526717557252,660.9516539440202,35.0,False,False,True
25d40c374ccc63bb812019b3ab711f4821c2efb2,aug,2017,cool,hold,Roswell,754.241935483871,779.1774193548387,777.0322580645161,35.0,False,False,True
3271c747361f6de586952939fb7a707d9fb5dbb3,aug,2017,auto,hold,Albuquerque,781.4285714285713,776.1190476190477,660.0,15.0,True,False,False
3452cbe1579596691e459126a705b17b767a9615,aug,2017,auto,hold,Hobbs,717.0767973856209,717.9526143790849,659.7222222222222,0.0,False,False,False
37e507636b62c644594504a3da41a1ca4e82287f,aug,2017,cool,hold,Las Cruces,751.0990308903696,749.9733494851605,749.9657783161721,50.0,False,False,False
3814199d32517d4c436882f8601f0f3d6c5c85fb,aug,2017,cool,auto,Clovis,758.9145299145299,766.1239316239315,721.1794871794873,50.0,False,False,False
3814199d32517d4c436882f8601f0f3d6c5c85fb,aug,2017,cool,hold,Clovis,755.0829732065688,760.8245462402766,760.800345721694,50.0,False,False,False
3c9a76d6ee1b6314b416707218f6649a9d99e458,aug,2017,auto,hold,Albuquerque,688.0,700.0,680.0,30.0,True,False,True
3c9a76d6ee1b6314b416707218f6649a9d99e458,aug,2017,cool,auto,Albuquerque,680.0952380952381,665.8809523809524,602.0238095238095,30.0,True,False,True
3c9a76d6ee1b6314b416707218f6649a9d99e458,aug,2017,cool,hold,Albuquerque,706.1595092024539,702.2944785276072,700.5030674846627,30.0,True,False,True
3dafa303709de7880515b9a2ef6b9b6d819d739f,aug,2017,cool,auto,Albuquerque,709.2492447129911,710.523413897281,700.77416918429,40.0,False,False,False
3dafa303709de7880515b9a2ef6b9b6d819d739f,aug,2017,cool,hold,Albuquerque,704.2804792107119,705.2043692741369,705.2078928823115,40.0,False,False,False
3ffad9dfad948840b995e2595470eaaf1ec6d7f8,aug,2017,cool,auto,Albuquerque,746.9894736842107,751.6315789473683,697.9894736842107,25.0,True,False,False
3ffad9dfad948840b995e2595470eaaf1ec6d7f8,aug,2017,cool,hold,Albuquerque,738.2950819672133,744.9508196721312,741.983606557377,25.0,True,False,False
476cc17fe85ad56384685563ffb9ed74b0fcf827,aug,2017,cool,auto,Clovis,709.6590909090909,715.7398236092267,721.8714382632293,20.0,False,False,True
