Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0ddcca6e74610999ee10239e72330c797274efa8,aug,2017,auto,auto,South Burlington,742.5555555555555,754.4444444444445,631.6666666666666,5.0,False,False,False
0e51eab7b259c251d7b77f7174b1bee53fb83ff3,aug,2017,heat,auto,westfield,743.8113207547169,780.2264150943396,649.1415094339623,55.0,False,False,False
1cc2b77c1f9dd8971c8050cb5604220405ec8404,aug,2017,auto,hold,Colchester,708.2943673931502,708.3679592414378,650.0266062836116,0.0,True,False,False
202b20f2fdcb124df820af1fd71955548fab26ff,aug,2017,cool,hold,South Burlington,714.1228070175439,716.1538461538463,716.1538461538463,0.0,True,False,False
27f0ecb02e0966f44199b02555ae4662c9cbf6d2,aug,2017,heat,hold,Essex,682.0,754.0,640.0,50.0,False,False,False
344369e2fd7df48b10e8a25dd6542b84da7ed31f,aug,2017,heat,hold,Derby,753.0,650.0,640.0,37.0,False,False,False
565a5cce380c9cee82988a001ad0dd53b9e83a80,aug,2017,heat,hold,Waterbury,658.6666666666666,680.0,680.0,90.0,False,False,False
592b3c9820fbb47566c0f6a1902dd081d8c65cb2,aug,2017,cool,hold,Williston,690.6813186813188,694.1813186813188,694.2307692307692,20.0,False,False,False
6f76dee396823efaa4928dd76539ab3f46489ee6,aug,2017,heat,auto,Bethel,749.7446504992868,660.0,660.0,0.0,False,False,False
773b38eea7dbac1116b1e74a3f3765336e67361f,aug,2017,heat,auto,Barre,732.1521126760564,799.7605633802817,640.2394366197183,40.0,False,False,False
8de572f3c0cd0e9fbadaff3165dc844a1ef72f5a,aug,2017,cool,hold,South Burlington,762.0833333333335,835.0,790.0,0.0,False,False,False
92a7755d85f209ef9778cefd008c94c23f3a4370,aug,2017,cool,auto,South Burlington,755.2539682539682,761.0634920634919,779.2063492063492,10.0,False,False,False
92a7755d85f209ef9778cefd008c94c23f3a4370,aug,2017,cool,hold,South Burlington,764.3133333333334,793.7933333333333,771.9433333333334,10.0,False,False,False
a1a9fe0e9032274670b0ee43b67a76d3ed18cda5,aug,2017,auto,auto,South Burlington,712.9444444444445,735.5,611.8333333333334,5.0,False,False,False
b1e5ee0e5f54079b59e15528166e6b515e6c597c,aug,2017,cool,auto,Richmond,736.1506493506494,761.9259740259739,717.7779220779221,50.0,False,False,False
b1e5ee0e5f54079b59e15528166e6b515e6c597c,aug,2017,cool,hold,Richmond,740.959927140255,765.3588342440802,765.3588342440802,50.0,False,False,False
