Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
028cb525d267c3428a3b3c872643302a06d19401,dec,2017,heat,auto,Thetford,671.4375,665.71875,665.71875,120.0,False,False,False
028cb525d267c3428a3b3c872643302a06d19401,dec,2017,heat,hold,Thetford,679.7992327365729,672.6547314578005,669.1598465473146,120.0,False,False,False
05baf6c0241b635d98e2d73b929c8e0f81a0e025,dec,2017,heat,hold,Hartland,615.0228758169935,650.0,620.5522875816994,0.0,False,False,False
08e5ea6a99f568b84b88969934ce6fd54f4a8359,dec,2017,heat,hold,Bethel,712.6934768841038,650.0,600.0,0.0,False,False,False
08e9d7365bb8f03903827359fb15dc779f0d72c8,dec,2017,heat,auto,Stowe,618.7857142857142,653.4761904761905,649.047619047619,15.0,False,False,False
08e9d7365bb8f03903827359fb15dc779f0d72c8,dec,2017,heat,hold,Stowe,647.9243827160493,664.6620370370372,636.2052469135803,15.0,False,False,False
0e51eab7b259c251d7b77f7174b1bee53fb83ff3,dec,2017,heat,hold,westfield,648.483870967742,667.983870967742,627.016129032258,55.0,False,False,False
147fcbc237cf697c8ead98aaee343e41816a3fea,dec,2017,heat,auto,Williston,653.5238095238095,780.0,620.0,20.0,False,False,False
147fcbc237cf697c8ead98aaee343e41816a3fea,dec,2017,heat,hold,Williston,612.0,710.1888888888889,600.3166666666667,20.0,False,False,False
1ab5d6516027bf2645cf937303b886cde871a36e,dec,2017,heat,hold,Hinesburg,631.3076923076923,672.8461538461537,648.6153846153846,35.0,False,False,False
1cc2b77c1f9dd8971c8050cb5604220405ec8404,dec,2017,heat,hold,Colchester,677.4497455470737,680.0,680.0,0.0,True,False,False
1ce2606d63f017a04ae778905399ffb92e99bfdf,dec,2017,heat,auto,St.Johnsbury,676.7931034482757,680.1379310344827,679.8706896551723,117.0,False,False,False
1ce2606d63f017a04ae778905399ffb92e99bfdf,dec,2017,heat,hold,St.Johnsbury,674.9813664596272,675.4472049689441,675.416149068323,117.0,False,False,False
27f0ecb02e0966f44199b02555ae4662c9cbf6d2,dec,2017,heat,auto,Essex,638.2217391304347,650.5478260869564,642.491304347826,50.0,False,False,False
27f0ecb02e0966f44199b02555ae4662c9cbf6d2,dec,2017,heat,hold,Essex,655.4642857142858,658.1190476190476,657.0357142857142,50.0,False,False,False
285c13b2b7807324dc39876f0d79d3262613fe79,dec,2017,heat,auto,Huntington,687.3939393939394,720.0,720.0,37.0,False,False,False
285c13b2b7807324dc39876f0d79d3262613fe79,dec,2017,heat,hold,Huntington,689.8510638297873,655.5531914893618,655.5531914893618,37.0,False,False,False
28d93597c65f29cb6ba38d55b2d171fa7f5ab7a7,dec,2017,heat,auto,Shelburne,643.0705882352943,696.5540106951871,633.9486631016042,37.0,False,False,False
28d93597c65f29cb6ba38d55b2d171fa7f5ab7a7,dec,2017,heat,hold,Shelburne,649.4662740899357,662.0599571734475,640.1970021413276,37.0,False,False,False
2a41fbabce7e2de5b4604808f90017db24700f6e,dec,2017,heat,auto,Waterville,591.4807692307693,650.0076923076923,611.7846153846152,120.0,False,False,False
2a41fbabce7e2de5b4604808f90017db24700f6e,dec,2017,heat,hold,Waterville,589.89,650.3,594.92,120.0,False,False,False
2ba5bba25731e900128c57ec9f931dd3ac5dd750,dec,2017,heat,hold,Weston,560.8633405639913,650.1973969631238,550.3449023861172,15.0,False,False,False
344369e2fd7df48b10e8a25dd6542b84da7ed31f,dec,2017,heat,hold,Derby,676.9309037900873,670.1399416909621,670.1399416909621,37.0,False,False,False
357c7d1ef89fb803b0fc23f587550c0b44ec2ada,dec,2017,heat,hold,Fairfax,656.7142857142858,669.2857142857142,621.1428571428571,35.0,False,False,False
44f002792cd731b1b708b52828cc88fd166bc31f,dec,2017,heat,auto,Braintree,654.1632653061224,710.0,710.0,15.0,False,False,False
44f002792cd731b1b708b52828cc88fd166bc31f,dec,2017,heat,hold,Braintree,679.984126984127,678.1587301587301,677.1746031746031,15.0,False,False,False
463e091043b222b3e88af924abd32a8b3e5042e2,dec,2017,heat,auto,Thetford,677.8416666666667,690.05,689.9583333333335,120.0,False,False,False
463e091043b222b3e88af924abd32a8b3e5042e2,dec,2017,heat,hold,Thetford,672.5044378698225,684.9926035502957,683.1997041420117,120.0,False,False,False
481c5f445984ec8c285535f01a465291ecfb3bd7,dec,2017,heat,hold,Morrisville,702.2352941176471,696.4117647058823,696.4117647058823,60.0,False,False,False
4c02318027f7d21546fd95569ad1020f2fe30c8d,dec,2017,heat,auto,Corinth,562.6666666666666,780.0,640.0,10.0,False,False,False
5003546a45599d87be59504a52e3a1d61e482230,dec,2017,heat,auto,Essex,661.3333333333334,780.0,680.0,17.0,False,False,False
54277a0672ff56e93b4875b5e29a512ddac4d664,dec,2017,heat,hold,Starksboro,610.4166666666666,655.6388888888888,629.1111111111112,20.0,False,False,False
565a5cce380c9cee82988a001ad0dd53b9e83a80,dec,2017,heat,auto,Waterbury,662.6101818181818,674.4218181818181,665.6945454545455,90.0,False,False,False
565a5cce380c9cee82988a001ad0dd53b9e83a80,dec,2017,heat,hold,Waterbury,646.6666666666666,650.0,650.0,90.0,False,False,False
5a5b0fe4dcd4fcf17cebb1624734c61294122107,dec,2017,heat,auto,Jericho,695.95,780.0,700.0,25.0,False,False,False
5a5b0fe4dcd4fcf17cebb1624734c61294122107,dec,2017,heat,hold,Jericho,642.5413533834586,650.0,640.0,25.0,False,False,False
5b5528bb43fbdfb79dbc8e3791197bdb74fb1c70,dec,2017,heat,auto,Old Bennington,657.0,651.5238095238095,640.2380952380953,90.0,False,False,False
5b5528bb43fbdfb79dbc8e3791197bdb74fb1c70,dec,2017,heat,hold,Old Bennington,643.074074074074,650.0,640.0,90.0,False,False,False
5b7f5dbb625ed5102fc3e91ac27731652483eafd,dec,2017,heat,auto,Newfane,595.25,651.5,601.4375,0.0,False,False,False
5b7f5dbb625ed5102fc3e91ac27731652483eafd,dec,2017,heat,hold,Newfane,680.833984375,699.1484375,690.046875,0.0,False,False,False
5e6215887d5f3c45b41ba1ef9b53dc0b5bb1ae8b,dec,2017,heat,auto,Chester,504.0,650.0,610.0,120.0,False,False,False
5e6215887d5f3c45b41ba1ef9b53dc0b5bb1ae8b,dec,2017,heat,hold,Chester,558.0230769230768,650.4846153846154,546.0012820512819,120.0,False,False,False
5f048ceb99823f9ac82c2c9b8e2c13e85b9ac36f,dec,2017,heat,auto,Essex,715.4705882352941,720.0,719.7647058823529,7.0,False,False,False
5f048ceb99823f9ac82c2c9b8e2c13e85b9ac36f,dec,2017,heat,hold,Essex,679.4537037037038,681.1388888888888,681.0833333333334,7.0,False,False,False
647073dd061dfdbda60d6ebe18579d91c09c5323,dec,2017,heat,auto,Milton,695.2575757575756,700.3787878787879,699.8030303030303,15.0,False,False,False
647073dd061dfdbda60d6ebe18579d91c09c5323,dec,2017,heat,hold,Milton,696.7029702970298,700.4455445544554,699.8415841584157,15.0,False,False,False
64c3644e0708da17140a8cfff41b6d223c8e8cd8,dec,2017,heat,auto,Alburgh,648.3875,653.2125,646.6125,30.0,False,False,False
64c3644e0708da17140a8cfff41b6d223c8e8cd8,dec,2017,heat,hold,Alburgh,656.0520661157025,663.7785123966943,648.5438016528925,30.0,False,False,False
662953f85593ffcb52ca9d8569604ec908481b51,dec,2017,heat,auto,South Burlington,666.5454545454545,670.1363636363636,670.1363636363636,0.0,False,False,False
662953f85593ffcb52ca9d8569604ec908481b51,dec,2017,heat,hold,South Burlington,664.8163440860217,670.4387096774194,665.7083870967742,0.0,False,False,False
69bc30e98e74a1816551961486553ee28f672f71,dec,2017,heat,auto,Westford,677.6666666666666,780.0,690.0,5.0,False,False,False
6a5c72f744242e0fe1b5c89734fb53e692a08655,dec,2017,heat,auto,Charlotte,683.875939849624,677.1945488721805,675.6851503759399,120.0,False,False,False
6a5c72f744242e0fe1b5c89734fb53e692a08655,dec,2017,heat,hold,Charlotte,677.3170731707318,689.4634146341464,687.560975609756,120.0,False,False,False
6f61787f517726a2f49e4b8fc65b4eda0ae311a2,dec,2017,heat,auto,Colchester,741.4565217391304,741.1353436185132,740.7019635343619,0.0,False,False,False
6f61787f517726a2f49e4b8fc65b4eda0ae311a2,dec,2017,heat,hold,Colchester,743.021897810219,740.0,740.0,0.0,False,False,False
6f76dee396823efaa4928dd76539ab3f46489ee6,dec,2017,heat,hold,Bethel,679.7990196078431,690.0,690.0,0.0,False,False,False
71984008b7dff37ff8383f34211aa9764e462a4b,dec,2017,heat,hold,Chester,556.0446428571429,654.5416666666666,538.6041666666666,115.0,False,False,False
73654a426bc084be31866f6c348c13b6ec5846d6,dec,2017,heat,hold,Essex Junction,697.1666666666665,706.0,699.25,27.0,False,False,False
773b38eea7dbac1116b1e74a3f3765336e67361f,dec,2017,heat,hold,Barre,680.4188481675392,679.2539267015708,679.2539267015708,40.0,False,False,False
7b27b95659b95336c7ea9697923ad4f42aa6a0e9,dec,2017,heat,hold,Huntington,668.1914893617021,650.0,650.0,37.0,False,False,False
7be36774068e168ba8af150302cbc875d52e39fd,dec,2017,heat,auto,Burlington,632.75,785.0833333333335,751.0833333333335,60.0,False,False,False
7be36774068e168ba8af150302cbc875d52e39fd,dec,2017,heat,hold,Burlington,678.875,699.7268518518518,689.4166666666665,60.0,False,False,False
7fa021bd983c34f07a6ab6cb5cf89b2a51fdc387,dec,2017,heat,auto,Bethel,711.3799019607843,680.0,680.0,0.0,False,False,False
7fa021bd983c34f07a6ab6cb5cf89b2a51fdc387,dec,2017,heat,hold,Bethel,690.4326530612245,670.0897959183674,670.0163265306122,0.0,False,False,False
7feac0ed6109fca17dcba60ab48a844c18802427,dec,2017,heat,auto,Londonderry,513.8571428571429,650.0,650.0,40.0,False,False,False
7feac0ed6109fca17dcba60ab48a844c18802427,dec,2017,heat,hold,Londonderry,519.5550935550935,650.0,510.029106029106,40.0,False,False,False
8c9560256e24bd3bd9cc777165a1c0ecd1fc1e9d,dec,2017,heat,auto,Winooski,701.1875,731.75,729.75,105.0,False,False,False
