Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0093e2266316dab9e25b0e8c51876169485cae66,jul,2017,auto,auto,Virginia Beach,722.0,720.0,660.0,40.0,True,False,True
00a77c90abdcc1ac45fa8c839401cc6a0539b164,jul,2017,cool,auto,Alexandria,682.75,691.25,651.5,10.0,False,False,True
00a80b7651daeb021a619256a237cba1d0a29ed8,jul,2017,cool,auto,Centreville,749.5422885572141,747.4651741293532,727.639303482587,25.0,False,False,False
00a80b7651daeb021a619256a237cba1d0a29ed8,jul,2017,cool,hold,Centreville,731.2731958762888,729.3354810996564,729.3041237113401,25.0,False,False,False
01565e9263a0f04e74fcddc27ba8f0e88631879a,jul,2017,cool,hold,Arlington,722.8489795918367,720.6142857142858,720.6102040816327,0.0,False,False,True
015cdf5e2f41e33754d88b86e95ffecc42bde0f1,jul,2017,cool,hold,Vienna,786.8,800.0,800.0,26.0,False,False,False
01fabcc1609eb4207b7ba72109c5e7fb38dd10f5,jul,2017,cool,hold,Vienna,766.9759036144577,777.8795180722891,774.1927710843373,50.0,False,False,True
02436b66b29e9db0a27b3b51998acd715aeeae61,jul,2017,auto,auto,Dumfries,709.2205128205127,708.8461538461537,658.8461538461537,30.0,True,False,True
02436b66b29e9db0a27b3b51998acd715aeeae61,jul,2017,auto,hold,Dumfries,712.1628180039139,711.4567514677103,648.5557729941291,30.0,True,False,True
02bd25a2eb19543bf06464390c599dee686ffc39,jul,2017,cool,hold,Fairfax,741.2327586206897,739.8275862068965,739.6206896551724,17.0,False,False,False
039bc94edbd9bb165f308b7ea283e2b899230ccd,jul,2017,auto,hold,Woodbridge,738.140625,740.0,670.0,40.0,True,False,True
03aa0b7b1d146e59d134bd770a4c09f29605bae0,jul,2017,auto,auto,Virginia Beach,727.9887273805992,723.0836547018689,661.467813705132,27.0,False,False,False
03c707ccc0c790343a9b58d4991168d5f849c97a,jul,2017,cool,hold,Lancaster,770.3186151530356,761.3201204214752,760.3472152533867,10.0,True,False,True
