Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
021bc49d2737cfc5291795252754c8c84d99fb90,Jan,2017,heat,auto,Plainville,700.2959501557632,700.917445482866,700.8193146417445,35.0,False,False,False
021bc49d2737cfc5291795252754c8c84d99fb90,Jan,2017,heat,hold,Plainville,693.2630718954248,691.4003267973857,691.4003267973857,35.0,False,False,False
02382555cf0333ff1ad92861205814fd74616f88,Jan,2017,heat,hold,South Hadley,636.40625,760.0625,640.0,55.0,False,False,False
02fe14bbcc60780d648cd5eae6868f1ff7e79b3c,Jan,2017,auto,auto,Boston,665.2213114754097,719.4016393442622,659.5655737704917,100.0,False,False,False
02fe14bbcc60780d648cd5eae6868f1ff7e79b3c,Jan,2017,auto,hold,Boston,658.1190476190476,789.2857142857142,638.1904761904761,100.0,False,False,False
0373b135029a70f677ca2ad36469b0088d3c56bf,Jan,2017,heat,auto,Hopkinton,696.8571428571429,700.2142857142858,700.2142857142858,30.0,False,False,False
0373b135029a70f677ca2ad36469b0088d3c56bf,Jan,2017,heat,hold,Hopkinton,676.8461538461537,650.0,650.7692307692307,30.0,False,False,False
037c92bd2737c0afd88be371d9fccfbe2c4b2c22,Jan,2017,heat,auto,Jamaica Plain,722.6849315068494,720.0,720.0,5.0,False,False,False
037c92bd2737c0afd88be371d9fccfbe2c4b2c22,Jan,2017,heat,hold,Jamaica Plain,718.046783625731,696.8362573099415,690.0292397660819,5.0,False,False,False
03c97dee21e06d36d6e9a4b2b76f9768f90c2973,Jan,2017,auto,auto,North Billerica,670.4793388429753,821.9752066115702,676.0909090909091,15.0,False,False,False
03c97dee21e06d36d6e9a4b2b76f9768f90c2973,Jan,2017,auto,hold,North Billerica,633.75,820.0,679.6,15.0,False,False,False
044fe85f00b87d59369f157cb3c83ae761b88075,Jan,2017,heat,auto,Framingham,669.2675159235669,656.1464968152866,638.7324840764331,0.0,False,False,False
044fe85f00b87d59369f157cb3c83ae761b88075,Jan,2017,heat,hold,Framingham,674.4239631336405,663.3548387096773,654.741935483871,0.0,False,False,False
05256343822adc11250ed359bf87fdc957d50fe1,Jan,2017,heat,auto,Stoneham,632.5833333333334,650.0,632.1111111111112,70.0,False,False,False
05256343822adc11250ed359bf87fdc957d50fe1,Jan,2017,heat,hold,Stoneham,673.5,665.0,642.5,70.0,False,False,False
053e620ece5aa62de0ef628b3d712c2bddd653a6,Jan,2017,heat,auto,Haverhill,687.1818181818181,660.2727272727273,660.0909090909091,30.0,False,False,False
053e620ece5aa62de0ef628b3d712c2bddd653a6,Jan,2017,heat,hold,Haverhill,676.7096774193549,680.0,680.0,30.0,False,False,False
05fa11e00c7e34dc45ed69c36f35e2bf8d46a399,Jan,2017,heat,auto,Sudbury,676.466225165563,677.6198675496689,676.6216335540838,6.0,False,False,False
05fa11e00c7e34dc45ed69c36f35e2bf8d46a399,Jan,2017,heat,hold,Sudbury,675.2119205298012,674.7019867549669,673.6754966887418,6.0,False,False,False
07076a05a793861d793b3bc6375e672127036afb,Jan,2017,auto,auto,Sudbury,677.0986547085201,764.708071748879,675.1825112107623,5.0,False,False,False
